run_id,source_dataset,sensor_id,rows,duration_seconds,temperature_min_c,temperature_max_c,temperature_mean_c,temperature_std_c,largest_gap_seconds,missing_interval_count
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_028_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,226,72000,19.7,20.6,20.183185840707964,0.2183618231679098,600.0,15
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_028_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,6,1500,18.7,18.8,18.71666666666667,0.037267799624997024,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_028_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,183,58500,17.0,19.7,18.466666666666665,0.7896414994363317,600.0,13
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_029_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,21,6000,19.7,19.8,19.771428571428572,0.0451753951452632,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_029_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,32,10200,19.6,19.9,19.725,0.09013878188659928,600.0,3
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_029_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,324,101100,17.8,21.8,19.216975308641977,1.0251718251080035,600.0,14
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_029_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,575,181800,16.8,20.0,17.84208695652174,0.8231239493033987,600.0,32
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_030_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,115,34200,19.7,20.7,20.248695652173907,0.3318892474754073,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_030_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,198,61500,19.3,20.2,19.70050505050505,0.24893662224286,600.0,8
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_030_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,1,0,18.2,18.2,18.2,0.0,0.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_030_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,507,157200,16.8,20.0,17.977712031558188,0.793909441370894,600.0,18
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_031_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,411,131400,19.2,20.7,19.717518248175185,0.33452536959551193,600.0,28
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_031_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,402,124800,19.3,20.9,19.83358208955224,0.3764082737333722,600.0,15
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_031_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,235,71700,18.0,21.1,18.948510638297872,0.8059010517464136,600.0,5
