timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T01:23:00+00:00,4980.0,gradual_warming-20273476-438739b17b58,3,ml,8.0036,True,TRANSITION,0.36610322524708694,EXCURSION_RISK,10.0,600.0,False,not due,0.7662079988222104,ok,99.31799999999977
2026-01-01T01:24:00+00:00,5040.0,gradual_warming-20273476-438739b17b58,3,ml,8.0513,True,TRANSITION,0.3339961525920112,EXCURSION_RISK,10.0,600.0,False,not due,0.8603330006735632,ok,99.31499999999977
2026-01-01T01:25:00+00:00,5100.0,gradual_warming-20273476-438739b17b58,3,ml,8.0461,True,TRANSITION,0.3116671255305571,EXCURSION_RISK,10.0,600.0,False,not due,0.7613329999003327,ok,99.31199999999977
2026-01-01T01:26:00+00:00,5160.0,gradual_warming-20273476-438739b17b58,3,ml,8.0546,True,TRANSITION,0.23730193282050932,EXCURSION_RISK,10.0,600.0,False,not due,0.7942080010252539,ok,99.30899999999977
2026-01-01T01:27:00+00:00,5220.0,gradual_warming-20273476-438739b17b58,3,ml,8.0359,True,TRANSITION,0.24091101547187932,EXCURSION_RISK,10.0,600.0,False,not due,0.790624999353895,ok,99.30599999999977
2026-01-01T01:28:00+00:00,5280.0,gradual_warming-20273476-438739b17b58,3,ml,8.0695,True,TRANSITION,0.23808034833056058,EXCURSION_RISK,10.0,600.0,False,not due,0.781374999860418,ok,99.30299999999977
2026-01-01T01:29:00+00:00,5340.0,gradual_warming-20273476-438739b17b58,3,ml,8.2008,True,TRANSITION,0.36724236570500085,EXCURSION_RISK,10.0,600.0,False,not due,0.7609170006617205,ok,99.29999999999977
2026-01-01T01:30:00+00:00,5400.0,gradual_warming-20273476-438739b17b58,3,ml,8.2588,True,TRANSITION,0.47203673369954335,EXCURSION_RISK,10.0,600.0,False,not due,0.857541999721434,ok,99.29699999999977
2026-01-01T01:31:00+00:00,5460.0,gradual_warming-20273476-438739b17b58,3,ml,8.2767,True,EXCURSION_RISK,0.5263726635180013,EXCURSION_RISK,10.0,600.0,True,immediate (burst),0.7855000003473833,ok,99.28399999999976
2026-01-01T01:32:00+00:00,5520.0,gradual_warming-20273476-438739b17b58,3,ml,8.3235,True,EXCURSION_RISK,0.5280971210311621,EXCURSION_RISK,10.0,600.0,False,not due,0.779583000621642,ok,99.28099999999976
